,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
1024,3660,tt0061728,19548,Le grand restaurant,Le Grand Restaurant,fr,France,"paris, france, expensive restaurant, kidnapping, restaurant, restaurant owner, president, terrorism, car accident, chef, wig, national anthem, police commissioner, 1960s, suspected, latin american revolution, alpes, flambé","Action,Comédie",1966,1966-09-09,85,0.0,0.0,9.887,6.7,6944
1044,3708,tt0061819,44448,Indomptable Angélique,Indomptable Angélique,fr,"France, Germany, Italy","17th century, louis xiv","Aventure,Romance",1967,1967-01-01,95,0.0,0.0,10.976,6.5,1635
1051,3754,tt0061955,4191,La mariée était en noir,La mariée était en noir,fr,"France, Italy","repayment, femme fatale, french noir","Crime,Drame,Mystère",1968,1968-03-22,107,747000.0,9600000.0,10.4,7.2,10750
1054,3770,tt0061996,1561,Mouchette,Mouchette,fr,France,"suicide, rage and hate, village, alibi, poacher, policeman, humiliation, alcoholic father, bumper car, sick mother, teenage protagonist",Drame,1967,1967-03-28,81,0.0,0.0,8.486,7.7,13414
1064,3802,tt0062083,2798,Oscar,Oscar,fr,France,"marriage proposal, husband wife relationship, mistake in person, blackmail, fraud, based on play or musical, family relationships, misunderstanding, suitcase full of money, accountant, 1960s, father daughter relationship",Comédie,1967,1967-10-11,85,0.0,0.0,5.863,7.5,7878
1066,3807,tt0062092,55316,Le pacha,Le pacha,fr,"France, Italy",,"Crime,Drame",1968,1968-03-14,90,0.0,0.0,4.805,6.7,1543
1068,3817,tt0062120,46655,Le petit baigneur,Le Petit Baigneur,fr,"France, Italy","inventor, boss, boat, sunday, southern france, kayak, lighthouse keeper   , contract, priest, canal, prototype, former employee, bugle, shipyard, 1960s, river barge, preaching",Comédie,1968,1968-03-22,96,0.0,0.0,9.095,6.6,4769
1069,3821,tt0062136,10227,Playtime,Playtime,fr,"France, Italy","paris, france, modernity, restaurant, modern society, glass, american tourist, steel",Comédie,1967,1967-12-16,155,0.0,0.0,15.441,7.8,27230
1080,3869,tt0062229,5511,Le samouraï,Le Samouraï,fr,"France, Italy","paris, france, police, jazz, hitman, jazz club, treason, stakeout, french noir, professional assassin, neo-noir","Crime,Drame,Thriller",1967,1967-10-25,101,0.0,39481.0,13.699,8.0,61681
1101,3958,tt0062445,66568,La vingt-cinquième heure,La 25ème heure,fr,"France, Italy, United States of America, Yugoslavia","world war ii, jew persecution","Drame,Guerre",1967,1967-04-26,130,0.0,0.0,7.481,7.4,2412
1102,3960,tt0062446,29790,Le viol du vampire,Le viol du vampire,fr,France,vampire,Horreur,1968,1968-05-27,95,0.0,0.0,3.198,5.2,1444
1103,3968,tt0062457,55370,Le voleur,Le Voleur,fr,"France, Italy",,"Comédie,Crime,Drame,Histoire",1967,1967-02-22,120,0.0,0.0,3.757,6.8,2405
1109,3977,tt0062480,8075,Week end,Week-end,fr,France,"surrealism, man woman relationship, traffic jam","Aventure,Comédie,Drame",1967,1967-12-29,105,0.0,0.0,7.594,6.9,16205
1117,4012,tt0062639,4857,Adieu l'ami,Adieu l'ami,fr,"France, Italy","male friendship, intrigue, safecracker","Action,Aventure,Crime,Drame,Thriller",1968,1968-08-14,115,0.0,0.0,11.516,6.7,4456
1123,4034,tt0062687,9929,Astérix et Cléopâtre,Astérix et Cléopâtre,fr,"France, Belgium","egypt, jealousy, cairo, magic, village, queen, architect, cartoon, palace, cleopatra, based on comic, ancient egypt, pharaoh, warrior, 1st century","Animation,Aventure,Comédie,Famille",1968,1968-12-19,72,0.0,0.0,12.879,7.2,15000
1124,4038,tt0062695,255,Baisers volés,Baisers volés,fr,France,"hotel, hotel room, adultery, individual, secret love, army, lovesickness, paris, france, parent child relationship, students' movement, balzac, shyness, montmartre, detective, job-hopping, night watchman, repair, brothel, amateur detective, extramarital affair, eiffel tower, paris, may 68","Comédie,Drame,Romance",1968,1968-09-04,91,350000.0,1500000.0,11.305,7.5,15782
1129,4051,tt0062728,1787,Les biches,Les Biches,fr,"France, Italy","love triangle, gambling, holiday, lgbt","Drame,Romance",1968,1968-03-22,100,0.0,0.0,2.821,6.9,3659
1157,4137,tt0062873,2433,Les demoiselles de Rochefort,Les demoiselles de Rochefort,fr,France,"new love, sibling relationship, mistake in person, unexpected happiness, twin sister, painting, fair, bridge, musical, man of one's dreams, ideal, ballet, twins, musical comedy","Comédie,Comédiemusicale,Drame,Romance",1967,1967-03-08,125,0.0,0.0,13.302,7.7,12729
1170,4187,tt0062997,51205,Le gai savoir,Émile '68,fr,France,,Drame,1969,1969-07-12,95,0.0,0.0,2.532,6.0,1199
1171,4191,tt0063005,4729,Le gendarme se marie,Le Gendarme se marie,fr,France,"jealousy, holiday, kidnapping, widow, mother-in-law, double wedding, exam, gendarmerie, saint-tropez, france, romance, promotion, widower, professional jealousy, jailbreak","Comédie,Romance",1968,1968-10-30,92,0.0,0.0,10.384,6.8,8939
1174,4201,tt0063026,105843,"Goto, l'île d'amour","Goto, l'île d'amour",fr,France,totalitarian regime,Drame,1969,1969-01-29,93,0.0,0.0,2.039,6.5,1012
1187,4263,tt0063152,4798,"Je t'aime, je t'aime","Je t'aime, je t'aime",fr,France,"lovesickness, experiment, time travel, nouvelle vague","Drame,Science-Fiction",1968,1968-04-24,91,0.0,0.0,6.256,7.1,3418
1221,4389,tt0063458,70496,La prisonnière,La prisonnière,fr,"France, Italy",,"Drame,Romance",1968,1968-11-20,106,0.0,0.0,4.958,7.1,1968
1248,4497,tt0063674,11912,Le tatoué,Le Tatoué,fr,"France, Italy","tattoo, castle, retired, art dealer, veteran, rude frenchman, legionnaire, restoration, perigord, modigliani",Comédie,1968,1968-08-17,90,0.0,0.0,8.872,6.5,3685
1253,4511,tt0063715,41225,Histoires extraordinaires,Histoires extraordinaires,fr,"France, Italy","army, obsession, anthology, catholic, alcoholic, desire, based on song, poem or rhyme, doppelgänger, movie star, horror anthology","Drame,Horreur,Mystère",1968,1968-05-16,121,0.0,0.0,10.286,6.4,7317
1258,4537,tt0063771,62570,Le vieil homme et l'enfant,Le vieil homme et l'enfant,fr,France,"nazi, liberation","Comédie,Drame",1967,1967-03-08,86,0.0,0.0,5.358,7.6,2610
1280,4613,tt0064040,15383,L'armée des ombres,L'armée des ombres,fr,"France, Italy","czech, paris, france, based on novel or book, nazi, marseille, france, vichy regime, concentration camp, world war ii, french resistance, german occupation, 1940s, nouvelle vague, watch on youtalkies","Drame,Guerre,Thriller",1969,1969-09-10,145,0.0,741766.0,10.734,8.1,27345
1288,4642,tt0064106,2912,Le boucher,Le boucher,fr,"France, Italy","vietnam veteran, province, butcher, murder, french noir","Drame,Mystère,Thriller",1970,1970-02-27,93,0.0,0.0,7.3,7.3,9675
1297,4664,tt0064146,33436,Le cerveau,Le Cerveau,fr,"France, Italy","robbery, paris, france, police, england, boat, money, train, cat burglar, train robbery, french police, mob, french, new york, french movie","Aventure,Comédie,Crime",1969,1969-03-07,115,0.0,0.0,7.903,6.8,4510
1302,4677,tt0064165,3423,Les choses de la vie,Les choses de la vie,fr,"Switzerland, France, Italy","paris, france, based on novel or book, 1970s, older man younger woman relationship, extramarital affair, ex-husband ex-wife relationship, father son relationship","Drame,Romance",1970,1970-03-13,89,0.0,0.0,6.87,7.4,5826
1303,4681,tt0064169,4235,Le clan des Siciliens,Le clan des Siciliens,fr,France,"new york city, based on novel or book, rome, italy, fake identity, family clan, revenge, sicilian, jewelry heist, italian family, escape from jail, paris suburb, adulterous wife","Crime,Drame",1969,1969-12-05,122,19000000.0,0.0,15.28,7.4,9761
1309,4710,tt0064225,70967,Dernier domicile connu,Dernier domicile connu,fr,"France, Italy","gangster, murder, police detective, french noir, neo-noir","Crime,Drame,Mystère,Thriller",1970,1970-02-25,105,0.0,0.0,7.928,6.9,1984
1310,4715,tt0064232,79446,Le diable par la queue,Le Diable par la queue,fr,"France, Italy",,Comédie,1969,1969-02-07,90,0.0,0.0,2.813,6.7,1042
1315,4736,tt0064285,1627,L'enfant sauvage,L'enfant sauvage,fr,France,"experiment, southern france, feral child, punishment, doctor, based on memoir or autobiography, reward, tantrum, wild child, 18th century, sign languages","Biographie,Drame,Histoire",1970,1970-02-26,83,0.0,0.0,8.231,7.5,9159
1316,4740,tt0064294,65887,La horse,La horse,fr,"Germany, France, Italy",,"Crime,Drame,Thriller",1970,1970-02-22,90,0.0,0.0,4.013,6.9,1023
1320,4752,tt0064323,8286,La femme infidèle,La femme infidèle,fr,"France, Italy","husband wife relationship, paris, france, deceived husband, bourgeoisie, extramarital affair","Drame,Thriller",1969,1969-01-22,98,0.0,0.0,24.164,7.4,4615
1321,4754,tt0064327,67496,La fiancée du pirate,La fiancée du pirate,fr,France,"prostitution, woman director","Comédie,Drame",1969,1969-12-03,107,0.0,0.0,5.691,6.9,1082
1326,4779,tt0064390,138906,Le grand amour,Le grand amour,fr,France,"bourgeoisie, satire, dysfunctional marriage, secretary, wedding","Comédie,Romance",1969,1969-03-21,87,0.0,0.0,2.476,7.5,1457
1333,4802,tt0064425,2462,Hibernatus,Hibernatus,fr,"France, Italy","marriage proposal, husband wife relationship, 1970s, bourgeoisie, hibernation, family relationships, disguise, generation gap, groenland, frozen body, 1900s, grandfather grandson relationship","Comédie,Fantastique,Science-Fiction",1969,1969-09-10,82,0.0,0.0,11.359,6.6,6924
1354,4878,tt0064612,48831,Ma nuit chez Maud,Ma nuit chez Maud,fr,France,"france, philosophy, bachelor, mathematics, mathematical theorem, engineer, love, religion, morality, divorcee, catholic, devout, catholic church, old friend, old friends, christmas, ethics, mathematical equation, christmas time","Comédie,Drame,Romance",1969,1969-06-04,105,0.0,0.0,9.764,7.8,15206
1364,4913,tt0064674,27146,Mr. Freedom,Mister Freedom,fr,France,"fascism, manipulation, satire, surrealism","Comédie,Crime,Drame",1968,1969-01-08,95,0.0,0.0,2.863,6.4,1300
1380,4962,tt0064791,27889,Le passager de la pluie,Le passager de la pluie,fr,"France, Italy","military officer, corpse, american, roadblock","Crime,Drame,Mystère,Thriller",1970,1970-01-21,115,0.0,0.0,19.576,6.6,4074
1382,4973,tt0064816,4946,La piscine,La piscine,fr,"France, Italy","husband wife relationship, southern france, relationship problems, ex-husband ex-wife relationship","Crime,Drame,Romance",1969,1969-01-31,122,0.0,0.0,16.197,7.1,14636
1387,4993,tt0064861,2527,Que la bête meure,Que la bête meure,fr,"France, Italy","beach, father murder, loss of loved one, letter, seaside, french noir, driver","Crime,Drame,Thriller",1969,1969-09-04,110,0.0,0.0,6.472,7.6,5029
1399,5034,tt0064990,1651,La sirène du Mississipi,La sirène du Mississipi,fr,"France, Italy","exotic island, love of one's life, marriage, plantation, mail order bride, french noir","Crime,Drame,Romance,Thriller",1969,1969-06-18,123,1600000.0,7356000.0,6.643,6.9,7678
1411,5086,tt0065106,241001,Tintin et le temple du soleil,Le Temple du Soleil,fr,"Belgium, France","based on comic, incan empire, cusco, peru, mummy's curse, amerindian mummy","Animation,Aventure,Comédie,Famille",1969,1969-12-13,77,0.0,0.0,7.052,6.6,2291
1420,5107,tt0065152,55836,Une femme douce,Une femme douce,fr,France,"suicide, man woman relationship, pawnbroker, memory, family, remembrance","Drame,Romance",1969,1969-08-27,88,0.0,0.0,5.86,7.3,3181
1430,5147,tt0065234,2721,Z,Z ou l'anatomie d'un assassinat politique,fr,"Algeria, France","cia, assassination, government, police, politics, greece, cover-up, conspiracy, political assassination, right wing, rally","Crime,Drame,Histoire,Thriller",1969,1969-02-26,127,0.0,83305.0,10.946,8.1,32367
1439,5201,tt0065439,60859,L'aveu,L'aveu,fr,"France, Italy",political thriller,"Drame,Thriller",1970,1970-04-29,139,0.0,0.0,5.297,7.8,5007
1445,5224,tt0065486,25251,Borsalino,Marseille 1930,fr,"France, Italy","mob, gangsters","Crime,Drame",1970,1970-05-19,125,0.0,0.0,10.861,6.8,5303
1456,5253,tt0065531,11657,Le cercle rouge,Le cercle rouge,fr,"France, Italy","prison, corruption, paris, france, escape, police, pimp, heist, thief, gang, murderer, custody, jewel, aristocratic","Crime,Drame,Thriller",1970,1970-10-19,140,0.0,0.0,15.114,7.9,29928
1476,5319,tt0065651,258,Domicile conjugal,Domicile conjugal,fr,"France, Italy","adultery, infidelity, paris, france, expensive restaurant, marriage crisis, job-hopping, brothel, 1970s, violin, music teacher, married couple, routine, neglect of one's spouse, fetish, life planning, pregnancy, relationship, divorce, extramarital affair","Comédie,Drame,Romance",1970,1970-09-09,97,0.0,0.0,10.308,7.4,11016
1482,5339,tt0065695,31345,L'enfance nue,L'enfance - nue,fr,France,"foster parents, childhood",Drame,1968,1969-01-22,83,0.0,0.0,5.409,7.4,2767
1488,5359,tt0065744,29129,Le frisson des vampires,Le frisson des vampires,fr,France,"vampire, castle, human sacrifice, animal killing, newlywed","Horreur,Mystère",1971,1971-04-21,95,0.0,0.0,5.04,5.6,2407
1491,5369,tt0065769,11913,Le gendarme en balade,Le Gendarme en balade,fr,France,"amnesia, hippie, chaos, retiree, retirement, nostalgia, gendarmerie, rocket, saint-tropez, france, generation gap, police uniform stolen, colleague, paris suburb","Comédie,Crime",1970,1970-10-28,107,0.0,0.0,7.974,6.5,7708
1492,5370,tt0065772,2860,Le genou de Claire,Le genou de Claire,fr,France,"knee, sexual desire","Drame,Romance",1970,1970-12-11,105,0.0,0.0,10.653,7.5,12958
1502,5397,tt0065848,36179,L'homme orchestre,L'Homme orchestre,fr,France,"baby, rome, italy, pop, ballet dancer, french riviera, monaco, single mother, choreographer, teacher student relationship, discipline, 1960s, musical troupe, dancers","Comédie,Comédiemusicale,Musique",1970,1970-09-18,85,0.0,0.0,8.266,6.2,3680
1528,5494,tt0066040,61683,Mais ne nous délivrez pas du mal,Mais ne nous délivrez pas du mal,fr,France,"nun, seduction, satanism, vacation, summer, convent school, evil","Drame,Horreur",1971,1971-04-05,102,0.0,0.0,8.521,6.7,2892
1549,5569,tt0066207,5590,Peau d'âne,Peau d'âne,fr,France,"princess, loss of loved one, cake, donkey, prince, surrealism, imaginary land, wedding, king, leaving home, based on fairy tale, ring, anachronism, fairy godmother, father daughter relationship","Comédie,Comédiemusicale,Drame,Fantastique,Musique,Romance",1970,1970-12-20,91,0.0,13200000.0,12.862,7.0,6870
1556,5609,tt0066318,4266,La rupture,La rupture,fr,"Belgium, France, Italy",small community,"Drame,Thriller",1970,1970-08-26,124,0.0,0.0,3.535,7.2,2012
1566,5651,tt0066423,11914,Sur un arbre perché,Sur un arbre perché,fr,France,"canyon, husband wife relationship, tree, hitchhike",Comédie,1971,1971-04-12,90,0.0,0.0,6.974,6.3,3625
1579,5701,tt0066530,42528,Viva la muerte,Viva la muerte,fr,"France, Tunisia","dream, nihilism, fascism, satire, surrealism, spanish civil war (1936-39), sahara desert, desert, blasphemy, corporal punishment, whipping, mother son relationship","Drame,Guerre",1971,1971-05-12,90,0.0,0.0,3.426,6.5,1586
1580,5703,tt0066534,35031,La voie lactée,La voie lactée,fr,"Germany, France, Italy","spain, nun, inquisition, crucifixion, bible, surrealism, religion, catholicism, camino de santiago","Comédie,Drame",1969,1969-02-28,105,0.0,0.0,13.06,7.3,8287
1581,5704,tt0066536,120100,Le voyou,Le voyou,fr,"France, Italy",child kidnapping,"Action,Crime,Thriller",1970,1970-11-20,120,0.0,0.0,4.01,6.9,1003
1607,5782,tt0066798,34280,"L'aventure, c'est l'aventure","L'aventure, c'est l'aventure",fr,"France, Italy",,"Aventure,Comédie,Crime",1972,1972-05-04,113,0.0,0.0,8.265,6.9,2713
1617,5800,tt0066841,156231,Blanche,Blanche,fr,France,middle ages (476-1453),"Drame,Histoire",1971,1972-01-26,93,0.0,0.0,3.775,6.5,1060
1625,5830,tt0066906,24984,Le chat,Le chat,fr,"France, Italy",,Drame,1971,1971-04-24,86,0.0,0.0,6.055,7.5,2527
1637,5867,tt0066989,42513,Les deux Anglaises et le continent,Les deux Anglaises et le continent,fr,France,,"Drame,Histoire,Romance",1971,1971-11-18,130,0.0,0.0,8.938,7.2,6122
1643,5895,tt0067040,104239,L'Eden et après,L'Eden et après,fr,"Czechoslovakia, France, Tunisia","nihilism, allegory, eroticism, painting, surrealism, torture, avant-garde, fantasy sequence, desert, death, coffee bar","Drame,Horreur,Mystère",1970,1970-04-20,93,0.0,0.0,5.12,6.4,1442
1650,5918,tt0067108,14257,La folie des grandeurs,La Folie des grandeurs,fr,"France, Spain, Italy, Germany","spain, based on novel or book, queen, giftmord, royalty, lord, conspiracy, misunderstanding, disguise, valet, illegitimate child, interclass romance, public disgrace, stingy","Aventure,Comédie,Histoire",1971,1971-12-08,85,0.0,0.0,12.478,7.2,8301
1674,5984,tt0067274,12598,Jo,Jo,fr,France,"police, blackmail, firearm, author, hidden corpse","Comédie,Crime,Thriller",1971,1971-08-31,85,0.0,0.0,6.897,7.1,3863
1695,6044,tt0067385,67420,Les malheurs d'Alfred,Les Malheurs d'Alfred,fr,France,,"Comédie,Romance,Sport",1972,1972-03-01,98,0.0,0.0,4.046,6.2,1103
1698,6052,tt0067397,4279,Les mariés de l'an deux,Les mariés de l'an deux,fr,"France, Italy, Romania","french revolution, ex husband, guillotine, relationship, divorce, aristocrat, ex-wife","Action,Aventure,Comédie,Histoire",1971,1971-04-07,98,0.0,0.0,6.05,6.5,1733
1700,6054,tt0067409,3427,Max et les ferrailleurs,Max et les ferrailleurs,fr,"France, Italy",bank robber,"Crime,Drame,Romance",1971,1971-02-17,112,0.0,0.0,7.416,7.3,3257
1707,6069,tt0067439,74689,Mon oncle Antoine,Mon oncle Antoine,fr,Canada,"canada, quebec, coming of age, uncle nephew relationship, christmas","Comédie,Drame",1971,1971-11-12,104,0.0,0.0,3.965,7.4,3295
1729,6134,tt0067592,58218,La plus longue nuit du diable,La nuit des pétrifiés,fr,"Belgium, Italy","tourist, castle, priest, devil, demon","Fantastique,Horreur",1971,1971-11-14,95,0.0,0.0,3.768,5.9,2294
1734,6148,tt0067637,64345,Les pétroleuses,Les Pétroleuses,fr,"France, Italy, Spain, United Kingdom","beauty, female gunfighter","Action,Comédie,Western",1971,1971-12-16,94,0.0,0.0,8.28,5.3,1377
1735,6151,tt0067641,55847,Quatre nuits d'un rêveur,Quatre nuits d'un rêveur,fr,France,"paris, france, based on novel or book, artist, love","Drame,Romance",1971,1971-06-29,87,0.0,0.0,4.947,7.3,3350
1741,6166,tt0067681,79717,La route de Salina,La route de Salina,fr,"Italy, France",family conflict,"Drame,Thriller",1970,1970-11-09,96,0.0,0.0,5.719,6.7,1072
1753,6211,tt0067770,11842,Soleil rouge,Soleil rouge,fr,"France, Italy, Spain","samurai, katana sword, samurai sword, train robbery, far west, asian western","Action,Drame,Western",1971,1971-09-15,112,0.0,0.0,17.474,6.8,11545
1756,6215,tt0067778,42501,Le souffle au coeur,Le souffle au coeur,fr,"France, Germany, Italy","jazz, sanatorium, incest, shoplifting, 1950s, boy scout, resort sex, mother son relationship, teenage protagonist, bastille day, dijon france","Comédie,Drame",1971,1971-04-27,118,0.0,0.0,15.632,7.5,11196
