,Unnamed: 0,nconst,Nom,birthYear,deathYear,commeRealisateur,commeActeur
41354,41354,nm13823797,Takumi Doyama,\N,\N,tt21223380,pas_de_film
41355,41355,nm0498898,Philippe Lefebvre,1941,\N,"tt2122518,tt0087515",pas_de_film
41356,41356,nm6007810,Valentina Maurel,1988,\N,tt21227238,pas_de_film
41357,41357,nm3925146,Nick Lieberman,\N,\N,tt21232992,pas_de_film
41358,41358,nm3468066,Jung Byung-gil,1980,\N,"tt21237030,tt2468774,tt6777338",pas_de_film
41359,41359,nm1919812,Patrice Pooyard,\N,\N,tt2124189,pas_de_film
41360,41360,nm0880302,Stephen Ujlaki,\N,\N,tt21247172,pas_de_film
41361,41361,nm1415268,Ludovic Colbeau-Justin,\N,\N,"tt21249808,tt9908390,tt5600326",pas_de_film
41362,41362,nm1729121,Eiichirô Hasumi,1967,\N,"tt21250176,tt26674627,tt3853452",pas_de_film
41363,41363,nm4796818,Emad Burnat,1971,\N,tt2125423,pas_de_film
41364,41364,nm1519079,Guy Davidi,1978,\N,tt2125423,pas_de_film
41365,41365,nm1022455,Benh Zeitlin,1982,\N,"tt2125435,tt2420124",pas_de_film
41366,41366,nm3174584,Armando Bo,\N,\N,tt2125500,pas_de_film
41367,41367,nm0070594,Malik Bendjelloul,1977,2014,tt2125608,pas_de_film
41368,41368,nm1132362,Lauren Greenfield,1966,\N,tt2125666,pas_de_film
41369,41369,nm1114700,Conor McMahon,\N,\N,tt2126362,pas_de_film
41370,41370,nm1530431,Philip Martin,\N,\N,"tt21279806,tt2376218",pas_de_film
41371,41371,nm2256873,Matías Gueilburt,\N,\N,tt21281774,pas_de_film
41372,41372,nm3728034,Dave Chernin,1984,\N,tt21284218,pas_de_film
41373,41373,nm1497310,John Chernin,1983,\N,tt21284218,pas_de_film
41374,41374,nm2753071,Lisa Steen,\N,\N,tt21284442,pas_de_film
41375,41375,nm2406892,Ben Ketai,1982,\N,tt21291992,pas_de_film
41376,41376,nm2853069,Boris Kunz,1979,\N,tt21308888,pas_de_film
41377,41377,nm1819972,Matt Duffer,1984,\N,tt2131532,pas_de_film
41378,41378,nm1819973,Ross Duffer,\N,\N,tt2131532,pas_de_film
