,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films,anneeSortie,nbVotes
1573,nm0135332,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1991.0,510.0
1574,nm0135952,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1998.0,225.0
1575,nm0136001,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2011.0,214.0
1576,nm0136021,0,0,0,0,0,1,1,1,0,7,0,2,0,0,0,1,0,5,0,0,0,0,0,7,2000.0,17279.0
1577,nm0136128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2010.0,709.0
1578,nm0136232,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1963.0,76.0
1579,nm0136572,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2023.0,1985.0
1580,nm0136592,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,1,0,1,0,0,3,1999.0,6610.0
1581,nm0136603,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2002.0,8487.0
1582,nm0136631,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2010.0,6315.0
1583,nm0136732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1983.0,84.0
1584,nm0136775,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2002.0,14385.0
1585,nm0137228,0,0,0,0,0,2,0,1,0,7,0,0,2,1,0,1,2,2,0,0,3,0,0,7,2013.0,9415.0
1586,nm0137345,0,0,0,0,0,3,1,0,0,7,0,2,0,0,0,1,0,1,0,0,0,0,0,9,1976.0,265.0
1587,nm0137363,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2004.0,10316.0
1588,nm0137379,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2006.0,114.0
1589,nm0137466,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1969.0,79.0
1590,nm0137573,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1980.0,7410.0
1591,nm0138609,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1998.0,1622.0
1592,nm0138620,7,0,0,3,0,5,0,6,0,2,0,0,0,0,0,0,1,0,1,0,8,0,0,8,2010.0,112193.0
1593,nm0138759,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2016.0,2688.0
1594,nm0138809,0,0,0,0,0,3,1,0,0,5,0,0,0,0,0,4,0,5,0,0,0,0,0,5,2012.0,83466.0
